道具ID,道具代码,道具英文名称,项目类型类型,价格,项目天数,简短描述,道具中文名称,详细描述
1000000101,A0001,SWAT,C,5000,999999999,SWAT,斯沃特,<斯沃特>是镇压恐怖分子和解救人质的组织，其性质介于特种部队和警察之间.
1000000201,A0002,OMOH,C,5000,999999999,OMOH,奥摩,<奥摩>是冷战时期建立的俄罗斯特种部队之一，他具有'BlackBere'和'Mafia Killer' 等别称.
1000000301,A0003,SAS,C,5000,999999999,SAS,赛斯,<赛斯>全称SpecialAirService<空军特勤队>，他是英国最精锐的特种部队，成立于二战初期，在国际上名气颇高。
1000000501,A0005,RARA,C,3000,999999999,RARA,猎狐者,猎狐者是近期崛起的精锐女性佣兵组织，虽身为女性，但丝毫掩盖不住她们强势的战斗力。她们先前主要是以狩猎狐狸为生存的手段，每当入冬之后，她们的活动变得日益频繁。
1000000701,A0007,Chinese soldier,C,4990,999999999,Chinese soldier,飞虎队,飞虎队是继承了保卫战争中发挥巨大作用的FlyingTigers精神的雇佣兵团，FlyingTigers全员都为正义阵营，为保卫国家领空与外来侵略者进行殊死搏斗的特种部队。
1010003301,B0033,Red Sawfly 7 day,D,0,7,Red Sawfly 7 day,Red Sawfly,除了具有卓越的防护力外，该头盔的外型也非常帅气。[斯沃特 角色专用].
1010003302,B0033,Red Sawfly 30 day,D,0,30,Red Sawfly 30 day,Red Sawfly,除了具有卓越的防护力外，该头盔的外型也非常帅气。[斯沃特 角色专用].
1010003401,B0034,Red Safe Goggle 7 day,D,0,7,Red Safe Goggle 7 day,Red Goggles,具有防弹效果的头盔，和其他道具搭配可以丰富您的造型. [奥摩 角色专用]
1010003402,B0034,Red Safe Goggle 30 day,D,0,30,Red Safe Goggle 30 day,Red Goggles,具有防弹效果的头盔，和其他道具搭配可以丰富您的造型. [奥摩 角色专用]
1010003501,B0035,Red eye 7 day,D,0,7,Red eye 7 day,Red Eyes,安装了彩色镜片，便于使用的防毒面具。 [赛斯 角色专用]
1010003502,B0035,Red eye 30 day,D,0,30,Red eye 30 day,Red Eyes,安装了彩色镜片，便于使用的防毒面具。 [赛斯 角色专用]
1010000101,B0001,SWAT Default Helmet,D,0,999999999,SWAT Default Helmet,斯沃特 Helmet,
1010000201,B0002,SWAT Default Face,D,0,999999999,SWAT Default Face,斯沃特 Face,
1010000301,B0003,OMOH Default Helmet,D,0,999999999,OMOH Default Helmet,奥摩 Helmet,
1010000401,B0004,OMOH Default Helmet,D,0,999999999,OMOH Default Helmet,奥摩 Face,
1010000501,B0005,SAS Default Gas Mask,D,0,999999999,SAS Default Gas Mask,赛斯 Gas Mask,
1010000601,B0006,SAS Default Face,D,0,999999999,SAS Default Face,赛斯 Face,
